Document,entertainer,achievement,mentor,unity,smiley,merit,seeker,esteem,wealth,proficiency,bravery,lovable,dynamo,thinker,special,charm,carefree,charitable,witty,traveler,enthusiastic,ambition,partner,sportsmanship,safe,excited,cleverness,champ,sophistication,smart,friend,romantic,heir,spirited,idealist,volunteer,respectful,hopeful,allure,progress,gentle,legend,dreamer,companion,excellence,affectionate,wellness,admired,healthy,humorous,energetic,attractive,spectacular,talented,unique,satisfied,value,devoted,expert,pleased,hugger,tolerance,learner,buff,easygoing,comfortable,fun,capable,honest,athlete,blissful,happy,graceful,zest,lucky,winner,wise,spontaneity,helper,adventurer,jolly,useful,peaceful,appeal,academic,visionary,optimist,creative,productive,hostess,mercy,enjoyable,commitment,skilled,confident,openness,radiant,asset,healer,vibrant
comfortable,0.16,0.19,0.23,0.06,0.16,0.11,0.04,0.42,0.17,0.13,0.1,0.2,0,0.02,0.2,0.3,0.14,0.19,0.14,0.19,0.1,0.26,0.12,0.06,0.25,0.27,0.14,0.09,0.06,0.18,0.23,0.23,0.1,0.2,0.05,0.13,0.18,0.2,0.05,0.25,0.36,0.02,0.04,0.27,0.15,0.2,0.14,0.27,0.19,0.17,0.17,0.38,0.09,0.15,0.28,0.43,0.09,0.25,0.28,0.36,0.08,0.09,0.09,0.15,0.1,1,0.25,0.19,0.3,0.12,0.22,0.3,0.24,0.15,0.21,0.11,0.18,0.14,0.15,0.03,0.29,0.26,0.2,0.12,0.22,0.01,0.06,0.13,0.13,0.28,0.19,0.36,0.2,0.18,0.32,0.29,0.09,0.01,0.02,0.29
fun,0.08,0.09,-0.02,0.04,0.07,0.03,0.03,0.05,-0.01,-0.01,0.07,0.11,-0.01,0.07,0.24,0.15,0.14,0.03,0.07,0.05,0.02,0.11,0.11,0.04,0.28,0.34,0.05,0.24,0,0.32,0.35,0.12,0,0,0.03,0.14,0.06,0.01,-0.02,0.05,0.15,0.01,0.08,0.09,0.04,0.06,0.08,0.14,0.14,0.11,0.03,0.16,0.07,0.18,0.11,0.15,0.07,0.03,0.12,0.21,0.01,0,0.03,0.09,0.06,0.25,1,0.05,0.13,0.12,0.13,0.5,0.18,0.08,0.31,0.09,0.1,0.02,0.15,0.01,0.26,0.06,0.16,0.05,0.05,-0.02,0.04,0.09,0.03,0.12,0.07,0.33,0.08,0.04,0.11,-0.02,0.01,0.03,0.05,0.09
capable,0.11,0.24,0.13,0.08,0.02,0.22,0.07,0.26,0.16,0.22,0.07,0.14,0,0.15,0.24,0.21,0.1,0.14,0.13,0.12,0.03,0.23,0.05,0.08,0.1,0.21,0.14,-0.01,0.08,0.1,0.14,0.13,0.18,0.18,0.04,0.15,0.15,0.11,0.02,0.3,0.19,0.08,0.15,0.22,0.26,0.2,0.19,0.2,0.17,0.23,0.25,0.27,0.24,0.15,0.37,0.36,0.24,0.26,0.27,0.23,0,0.1,0.14,0.15,0.13,0.19,0.05,1,0.25,0.16,0.2,0.14,0.15,0.17,0.06,0.14,0.16,-0.01,0.09,0.06,0.18,0.29,0.12,0.12,0.2,0.11,0,0.23,0.22,0.07,0.15,0.17,0.22,0.15,0.3,0.15,0.11,0.05,0.07,0.14
honest,0.04,0.19,0.26,0.08,0.14,0.27,0.26,0.31,0.16,0.05,0.13,0.28,0.03,0.24,0.07,0.29,0.21,0.16,0.24,0.1,0.13,0.34,0.21,0.2,0.09,0.17,0.16,0.17,0.07,0.32,0.28,0.24,0.23,0.11,0.15,0.2,0.28,0.26,0.08,0.18,0.28,0.17,0.12,0.27,0.27,0.19,0.02,0.3,0.04,0.27,0.18,0.28,0.09,0.21,0.16,0.41,0.15,0.27,0.41,0.37,0.03,0.03,0.04,0.06,0.14,0.3,0.13,0.25,1,0.11,0.2,0.31,0.16,0.14,0.25,0.1,0.4,0.03,0.26,0.1,0.27,0.18,0.15,0.29,0.17,0.12,0.09,0.22,0.1,0.18,0.3,0.2,0.32,0.1,0.36,0.21,0.02,0.03,0.17,0.16
athlete,0.07,0.3,0.05,0.06,0.02,-0.01,0.07,0.1,0.06,0.32,0.12,0.19,0.07,0.08,0.18,0.03,0.01,0.03,0.07,0,0.05,0.25,0.03,0.09,0,0.15,0.11,0.31,0,0.09,0.08,0.1,-0.01,0.1,0.03,0.07,0.03,0.15,0.04,0.05,0.04,0.1,0.06,0.04,0.2,0.03,0.08,0.18,0.08,0.12,0.07,0.15,0.37,0.33,0.16,0.06,0,0.1,0.27,0.07,0.04,0.04,0.12,0.05,-0.07,0.12,0.12,0.16,0.11,1,0.04,0.09,0.25,-0.02,0.19,0.54,0.07,-0.01,0.11,0.04,-0.01,0.08,0.06,0.11,0.24,0.06,0.01,0.16,0.04,0.08,0.05,0.21,0.18,0.13,0.21,0.04,0.03,0,-0.06,0.11
blissful,0.06,0.11,0.09,0.02,0.15,0.11,0.03,0.19,0.07,0.14,-0.02,0.09,-0.01,0.11,0.06,0.16,-0.02,0.17,0.16,0.12,0,0.19,-0.05,0,0.11,0.06,0.09,0.1,0.04,0.03,0.05,0.16,0.11,0.16,0.07,0.02,0.21,0.12,0.15,0.12,0.16,0.01,0,0.19,0.13,0.14,0.01,0.13,0.03,0.09,0.19,0.17,0.09,0.08,0.18,0.29,0.04,0.19,0.07,0.16,0.05,0,0.09,0.01,0.1,0.22,0.13,0.2,0.2,0.04,1,0.17,0.11,0.11,0.04,0.01,0.06,-0.01,0.08,-0.07,0.18,0.04,0.1,0.04,0.13,0.09,-0.01,0.07,0.08,0.05,0.27,0.07,0.17,0.07,0.17,0.07,0.07,0.02,0.06,0.13
happy,0.1,0.05,0.15,0.05,0.08,0.08,0.08,0.29,0.09,0.05,0.09,0.31,0.01,0.1,0.23,0.31,0.15,0.09,0.13,0.13,0.03,0.17,0.09,0.03,0.2,0.44,0.06,0.2,0.05,0.28,0.49,0.2,0.17,0.09,0.01,0.17,0.21,0.16,0.16,0.06,0.33,0.06,0.11,0.19,0.09,0.28,0.07,0.29,0.15,0.1,0.05,0.22,0.04,0.23,0.16,0.39,0.05,0.19,0.11,0.53,0.06,0.04,0.01,0.08,0.1,0.3,0.5,0.14,0.31,0.09,0.17,1,0.25,0.04,0.33,0.06,0.34,0.06,0.24,0.04,0.28,0.1,0.24,0.08,0.08,0.08,0.05,0.1,0.06,0.17,0.27,0.27,0.1,0.04,0.19,0.08,0.01,-0.01,0.05,0.12
graceful,0.06,0.12,0.05,0.03,0.13,0.04,0.08,0.11,0.16,0.18,0.12,0.28,0.02,0.03,0.16,0.37,0.13,0.07,0.18,0.15,0.1,0.15,0.08,0.03,0.05,0.32,0.18,0.09,0,0.16,0.15,0.34,0.14,0.21,0.05,0.08,0.3,0.13,0.05,0.19,0.38,0.06,0.02,0.25,0.17,0.2,0.02,0.38,0.07,0.11,0.14,0.16,0.19,0.25,0.22,0.14,0.04,0.22,0.22,0.3,-0.01,0.03,0.11,0.16,0.1,0.24,0.18,0.15,0.16,0.25,0.11,0.25,1,0.14,0.17,0.16,0.15,0.07,0.13,0.07,0.18,0.08,0.21,0.12,0.15,0.07,0.09,0.09,0.07,0.22,0.09,0.08,0.12,0.07,0.09,0.03,0.05,0.02,0.1,0.25
zest,-0.01,-0.07,0.05,-0.01,-0.02,0.07,0.03,0.06,0.19,0,-0.03,0.13,-0.02,0.04,-0.01,0.24,0.07,0.11,0.08,0.1,0.14,0.11,0.1,0.01,0.08,0.12,-0.07,-0.04,-0.01,0.04,0.09,0.22,0.02,0.22,0.08,0,0.18,0.14,0.07,0.12,0.25,0.01,0.1,0.41,0.01,0.15,0.03,0.2,0,0.05,0.12,0.13,0.07,0.04,0.09,0.12,0,0.13,0.09,0.17,-0.08,-0.03,0.02,0.13,0.08,0.15,0.08,0.17,0.14,-0.02,0.11,0.04,0.14,1,0.09,-0.08,0.04,0.11,0.04,0.14,0.17,0.12,0.11,0.09,0,0.12,0,0.08,-0.02,0.07,0.1,0.03,0.06,0.11,0.06,0.08,0.07,-0.02,0.1,0.21
lucky,0.09,0.1,0.06,0,0.1,0.09,0.09,0.06,0.16,0.08,0.14,0.08,0.03,0.13,0.16,0.23,0.08,0.14,0.08,0.18,0.05,0.21,0.15,0.06,0.2,0.32,0.24,0.22,-0.04,0.34,0.25,0.11,0.12,0.1,0.04,0.1,0.14,0.21,0.04,0.09,0.24,0.13,0.19,0.21,0.06,0.16,-0.01,0.21,0.05,0.07,0.05,0.11,0.14,0.16,0.1,0.16,0.06,0.11,0.27,0.3,0.08,0.04,0.08,0.09,0.07,0.21,0.31,0.06,0.25,0.19,0.04,0.33,0.17,0.09,1,0.18,0.14,0.06,0.28,0.14,0.27,0.1,0.17,0.06,0.13,0.04,0.07,0.1,0.04,0.12,0.2,0.11,0.03,0.09,0.11,0.08,0.09,0.02,0.09,0.1
winner,0.12,0.31,0.06,0.03,0.01,0.16,-0.01,0.14,0.08,0.14,0.16,0.09,0.04,0.13,0.12,0.08,0.11,0.06,0.21,-0.06,0.05,0.13,0.07,0.07,-0.01,0.11,0.09,0.33,0.04,0.19,0.1,0.03,0.1,0.09,0.07,0.11,0,0.18,0,0.18,0.09,0.09,0.04,0,0.16,0.07,0.06,0.14,0.05,0.09,0.11,0.07,0.28,0.28,0.13,0.08,0.02,0.17,0.22,0.06,0,0,0.08,0.04,-0.01,0.11,0.09,0.14,0.1,0.54,0.01,0.06,0.16,-0.08,0.18,1,0.15,0.06,0.08,0.02,0.02,0.05,0.09,0.11,0.26,0.06,-0.06,0.12,0.08,0.12,0.14,0.12,0.21,0.05,0.16,0.1,0.03,0.04,0.03,0.07
wise,0.11,0.05,0.13,0,0.05,0.14,0.12,0.16,0.11,0.12,0.15,0.07,0.02,0.17,0.11,0.23,0.15,0.13,0.18,0.12,0.06,0.25,0.1,0.08,0.24,0.14,0.07,0.04,0.1,0.23,0.2,0.12,0.19,0.12,0.06,0.07,0.13,0.28,0.05,0.25,0.23,0.16,0.13,0.16,0.21,0.12,0.16,0.25,0.18,0.09,0.05,0.17,0.01,0.06,0.08,0.34,0.07,0.23,0.29,0.35,-0.02,0.05,0.2,0.04,0.02,0.18,0.1,0.16,0.4,0.07,0.06,0.34,0.15,0.04,0.14,0.15,1,0.03,0.16,0.1,0.19,0.21,0.16,0.16,0.06,0.15,0.06,0.21,0.09,0.05,0.34,0.07,0.14,0.11,0.27,-0.01,0.02,0.07,0.19,0.08
spontaneity,0.05,0.04,0.17,-0.05,0.04,0.02,0.01,0.11,0.04,0,0.02,0,0.01,0,0,0.04,0.03,0.05,0.01,-0.05,0.07,0,0.07,-0.06,-0.02,0.07,0.04,-0.03,0.11,0.01,0.01,0.1,-0.03,0.02,0.03,0.01,0.03,0.01,-0.11,0.27,0,-0.06,0.09,0,0.03,-0.02,0.16,0.18,0.02,0.01,0.06,0.16,-0.03,0.02,0.11,0.05,0.07,0.07,0.05,0.06,-0.01,0.04,0.06,-0.14,0.05,0.14,0.02,-0.01,0.03,-0.01,-0.01,0.06,0.07,0.11,0.06,0.06,0.03,1,0.05,0.02,0.05,0.08,0,0.01,0.1,0.14,0.01,0.18,0.12,0.05,0.03,0.05,0.11,0.08,0.07,0.11,-0.02,0.06,0.04,0.08
helper,0.01,0.12,0.11,-0.03,0.14,0.04,0.18,0.07,0.04,0.05,0.02,0.13,-0.06,-0.04,0.15,0.1,0.06,0.04,0.08,0.08,0.05,0.18,0.1,0.08,0.11,0.19,0.01,0.14,-0.01,0.2,0.25,0.14,0.04,0.12,-0.02,0.22,0.16,0.04,0.02,0.07,0.12,0.08,0.06,0.14,0.04,0.08,-0.06,0.12,0.04,0.08,0.13,0.11,0.03,0.23,-0.01,0.14,0.04,0.17,0.25,0.27,0.17,0.04,0.2,0.07,0.06,0.15,0.15,0.09,0.26,0.11,0.08,0.24,0.13,0.04,0.28,0.08,0.16,0.05,1,0.02,0.08,0.08,0.02,0.03,0.27,0.02,0.01,0.16,0.03,0.05,0.08,0.14,0.04,0.09,0.05,0.06,0.01,0.03,0.07,0.06
adventurer,0.07,0.1,0.02,0.04,-0.04,0.04,0.14,0.03,0.34,-0.01,0.14,0.01,-0.02,0.06,0.04,0.05,0.06,0.03,0.13,0.1,0.09,0.13,0.08,-0.03,-0.02,0.14,0.18,0.04,0,0.05,0.06,0.11,0.18,0.13,0.09,0.01,0.03,0.18,-0.06,0.08,0.14,0.29,0.17,0.16,0.09,0.03,0.03,0.15,0,0.03,0.04,0.1,0.05,-0.02,0.06,0.03,0.06,0.12,0.25,0.15,-0.06,0.03,-0.01,0.11,0.08,0.03,0.01,0.06,0.1,0.04,-0.07,0.04,0.07,0.14,0.14,0.02,0.1,0.02,0.02,1,0.05,0.04,0.16,0.08,0.08,0.04,0.1,0.04,0.01,0.02,0.07,0,-0.11,0.16,0,-0.02,0.01,-0.01,0.07,0.02
jolly,0.02,0.01,0.02,0,0.22,0.11,0.02,0.09,0.08,0.1,0.1,0.18,-0.03,0.06,0.06,0.32,0.21,0.1,0.16,0.09,0.02,0.14,0.13,0.12,0.1,0.25,0.19,0.12,0.08,0.26,0.21,0.18,0.15,0.03,0.09,0.08,0.28,0.09,0.1,0.06,0.27,0.01,0.12,0.23,0.08,0.18,0.11,0.3,0.03,0.14,0.13,0.12,0.05,0.07,0.05,0.25,0.06,0.16,0.14,0.4,0.09,0.02,0.06,0.14,0.18,0.29,0.26,0.18,0.27,-0.01,0.18,0.28,0.18,0.17,0.27,0.02,0.19,0.05,0.08,0.05,1,0.09,0.2,0,0.05,0.1,0.06,0.1,0.01,0.18,0.32,0.02,0,0.02,0.06,0.02,0.06,0.04,0.1,0.1
useful,0.22,0.1,0.06,0.06,0.01,0.12,0.04,0.1,0.12,0.09,0.04,0.09,0.04,0.16,0.33,0.1,0.06,0.09,0.08,0.08,0.07,0.07,0.08,0.07,0.13,0.11,0,-0.03,0.09,0.1,0.09,0.05,0.04,0.02,0.02,0.05,0.12,0.06,0.04,0.2,0.13,0.07,0.1,0.11,0.1,0.1,0.01,0.14,0.08,0.08,0.09,0.29,0.06,0.08,0.21,0.24,0.2,0.19,0.28,0.18,0,0.04,0.17,0.22,0,0.26,0.06,0.29,0.18,0.08,0.04,0.1,0.08,0.12,0.1,0.05,0.21,0.08,0.08,0.04,0.09,1,0.1,0.1,0.12,0.03,0.04,0.26,0.17,0.05,0.08,0.23,0.09,0.24,0.15,0.06,0.13,0.03,0.06,0.07
peaceful,0.02,0.17,0,0.25,0.1,0.04,-0.05,0.06,0.26,0.02,0.25,0.06,0.01,0.11,0.14,0.14,0.23,0.11,0.13,0.12,0.1,0.11,0.08,0.07,0.19,0.24,0.07,0.06,0.06,0.2,0.18,0.2,0.14,0.16,0.11,0.19,0.15,0.14,0.1,0.23,0.27,0.16,0.13,0.15,0.04,0.14,-0.04,0.25,0.03,0.08,0.09,0.09,0.1,0.09,0.14,0.28,0.06,0.23,0.17,0.3,0.02,0.04,-0.03,0.11,0.2,0.2,0.16,0.12,0.15,0.06,0.1,0.24,0.21,0.11,0.17,0.09,0.16,0,0.02,0.16,0.2,0.1,1,0.16,0.02,0.1,0.14,0.07,0.09,0.1,0.19,0.14,0.08,0.15,0.12,0.06,0.04,0.02,0.02,0.07
appeal,0.07,0.14,0.14,0.17,-0.06,0.14,0.08,0.16,0.03,0.03,0.12,0.11,0.02,0.08,0.07,0.06,-0.01,0.04,0.17,0,0.74,0.09,0.1,0.14,0.01,0.06,0.05,0.13,0.2,0.05,0.08,0.15,0.05,0.08,0.05,0.11,0.02,0.08,0.08,0.1,0.09,0.02,0.08,0.12,0.22,0.09,0.02,0.07,0.05,0.22,0.05,0.22,0.12,0.08,0.16,0.21,0.07,0.12,0.21,0.05,-0.03,0.01,0.04,0.05,0.01,0.12,0.05,0.12,0.29,0.11,0.04,0.08,0.12,0.09,0.06,0.11,0.16,0.01,0.03,0.08,0,0.1,0.16,1,0.13,0.04,0.01,0.14,0.01,0.1,0.1,0.15,0.14,0.03,0.21,0.2,0.01,0.01,0.09,0.14
academic,0.09,0.4,0.17,0.01,0.13,0.14,0.04,0.18,0.11,0.29,0.11,0.1,0.03,0.14,0.17,0.16,0.04,0.13,0.28,-0.05,0.14,0.39,0.08,0.01,0.06,0.07,0.16,0.12,0.04,0.15,0.08,0.28,0.05,0.19,0.1,0.21,0.07,0.1,-0.01,0.28,0.1,0.08,0.08,0.13,0.38,0.08,0.05,0.12,0.05,0.26,0.24,0.2,0.17,0.47,0.26,0.27,0.05,0.38,0.36,0.1,0.03,0.06,0.43,0.05,0.07,0.22,0.05,0.2,0.17,0.24,0.13,0.08,0.15,0,0.13,0.26,0.06,0.1,0.27,0.08,0.05,0.12,0.02,0.13,1,0.14,0.07,0.31,0.08,-0.03,0.08,0.21,0.19,0.07,0.18,0.19,0.02,0.01,0.03,0.08
visionary,0.11,0.1,0.18,0.04,0.11,0.14,-0.01,0.17,0.12,0.09,0.05,0.13,0.02,0.17,0.05,0.18,0.09,0.05,0.09,0.04,0.01,0.23,0.06,0.06,0.03,0.13,0.03,0.01,0.03,-0.06,0.03,0.27,0.12,0.14,0.08,-0.01,0.08,0.07,0.16,0.16,0.15,0.11,0.11,0.13,0.07,0.04,0,0.25,-0.04,0.08,0.14,0.04,0.17,0.12,0.1,0.2,0.07,0.21,0.08,0.08,0.01,0.01,0.1,0.1,0.14,0.01,-0.02,0.11,0.12,0.06,0.09,0.08,0.07,0.12,0.04,0.06,0.15,0.14,0.02,0.04,0.1,0.03,0.1,0.04,0.14,1,-0.03,0.16,0.03,0.07,0.18,0,0.19,0.04,0.08,0.12,0,0.04,0.07,0.11
optimist,-0.12,0.11,0.05,0.01,0.18,0.05,0.04,-0.05,0.01,0,0.02,0.11,-0.03,0.1,0.01,0,0.01,0.11,0.03,0.15,0.08,0.01,-0.05,0,0.05,0.11,0.09,-0.02,-0.04,0.13,0.03,0.01,-0.04,0.07,0.07,0.03,0.07,0.15,-0.07,0.09,0,0.07,0.06,0.06,0.09,-0.02,0.01,-0.01,-0.01,0.03,0.02,-0.01,0.13,0.06,-0.05,-0.04,-0.05,0.04,0.14,0.09,0.08,-0.02,0.06,-0.06,-0.01,0.06,0.04,0,0.09,0.01,-0.01,0.05,0.09,0,0.07,-0.06,0.06,0.01,0.01,0.1,0.06,0.04,0.14,0.01,0.07,-0.03,1,-0.09,-0.05,0.01,0,0.01,0.07,-0.04,0.02,0.01,0.01,0.03,0.08,0.03
creative,0.13,0.22,0.28,0.11,-0.04,0.23,0.11,0.28,0.08,0.15,0.1,0.09,0.02,0.15,0.19,0.14,0.14,0.06,0.11,0.02,0.06,0.23,0.27,-0.03,0.07,0.03,0.1,-0.03,0.02,0.1,0.14,0.15,0.01,0.12,0.07,0.17,0.03,0.06,0.06,0.34,0.11,0.07,0.26,0.08,0.16,0.09,0.06,0.18,0.1,0.18,0.21,0.26,0.06,0.34,0.34,0.31,0.02,0.24,0.29,0.12,-0.06,0.06,0.35,0.02,0.08,0.13,0.09,0.23,0.22,0.16,0.07,0.1,0.09,0.08,0.1,0.12,0.21,0.18,0.16,0.04,0.1,0.26,0.07,0.14,0.31,0.16,-0.09,1,0.2,0,0.1,0.26,0.21,0.19,0.24,0.21,0,0,0.05,0.07
productive,0.25,0.15,0.16,0.07,0.01,0.01,0.13,0.2,0.34,0.02,-0.03,0.01,-0.03,0.08,0.08,0,0.05,0,0.04,0.03,-0.02,0.13,0.07,-0.05,0.01,-0.02,0.07,-0.05,0.02,0.06,0.07,0.03,0.01,0.04,0.04,0.05,0.04,0.03,-0.02,0.27,0.05,0.03,0.06,0.06,0.1,0.02,0.13,0.09,0.06,0.03,0.23,0.19,0.02,0.15,0.25,0.19,0.2,0.09,0.05,0.08,0,0.08,0.04,-0.02,0.07,0.13,0.03,0.22,0.1,0.04,0.08,0.06,0.07,-0.02,0.04,0.08,0.09,0.12,0.03,0.01,0.01,0.17,0.09,0.01,0.08,0.03,-0.05,0.2,1,0.04,0.04,0.17,0.14,0.39,0.11,0.16,-0.02,0.02,0.04,-0.02
hostess,0.13,0.05,0.11,0.15,0.13,0.17,-0.02,0.14,0.07,0.06,0.16,0.19,0.04,0.08,0.21,0.19,0.02,0.11,0.17,0.1,0.02,0.07,0.02,0.02,0.06,0.21,0.06,0.07,0.13,0.11,0.25,0.13,0.16,0.15,0.1,0.17,0.2,0.12,0.12,0.08,0.2,0.04,-0.07,0.22,0.11,0.14,0.03,0.27,0.02,0.1,0.03,0.28,0.09,0.07,0.07,0.17,0.02,0.13,0.13,0.26,0.08,-0.02,-0.07,0.12,0.07,0.28,0.12,0.07,0.18,0.08,0.05,0.17,0.22,0.07,0.12,0.12,0.05,0.05,0.05,0.02,0.18,0.05,0.1,0.1,-0.03,0.07,0.01,0,0.04,1,0.08,0.14,0.06,0.07,0.12,0.04,0.03,0.03,0.12,0.19
mercy,0.03,0.04,0.26,0.09,0.13,0.14,0.04,0.19,0.05,0.14,0.16,0.19,0.02,0.13,0.05,0.3,0.09,0.21,0.09,0.06,0.02,0.19,0.1,-0.02,0.16,0.16,0.04,0.15,0.05,0.16,0.3,0.11,0.17,0.17,0.08,0.08,0.18,0.39,0.34,0.13,0.37,0.04,0.04,0.3,0.17,0.25,-0.01,0.17,0.06,0.15,0.08,0.08,0.04,0.04,0.06,0.27,-0.01,0.32,0.16,0.31,-0.02,0.03,0.08,0.07,0.19,0.19,0.07,0.15,0.3,0.05,0.27,0.27,0.09,0.1,0.2,0.14,0.34,0.03,0.08,0.07,0.32,0.08,0.19,0.1,0.08,0.18,0,0.1,0.04,0.08,1,0.02,0.14,0.1,0.21,0.1,0.04,0.02,0.32,0.2
enjoyable,0.22,0.2,0.16,0.16,0.01,0.02,0.09,0.29,0.11,0.09,0.05,0.07,-0.03,0.08,0.25,0.1,0.13,0.1,0.04,0.1,0.09,0.2,0.16,0.16,0.18,0.19,0.08,0.03,0.04,0.05,0.3,0.11,0,-0.01,-0.05,0.18,0.09,-0.02,0.09,0.15,0.08,0.01,0.03,0.12,0.13,0.18,0.15,0.1,0.17,0.26,0.15,0.3,0.15,0.2,0.23,0.37,0.09,0.1,0.21,0.2,0.02,0.08,0.13,0.08,0.07,0.36,0.33,0.17,0.2,0.21,0.07,0.27,0.08,0.03,0.11,0.12,0.07,0.05,0.14,0,0.02,0.23,0.14,0.15,0.21,0,0.01,0.26,0.17,0.14,0.02,1,0.23,0.17,0.23,0.15,0.04,-0.02,-0.04,0.07
commitment,0.07,0.28,0.37,0.07,0.11,0.17,0.26,0.4,0.11,0.02,0.01,0.19,0.01,0.17,0.11,0.14,0.09,0.11,0.18,0.01,0.04,0.27,0.08,0.04,0.02,0.06,0.02,0.09,0.11,0.06,0.08,0.1,0.15,0.12,0.23,0.15,0.08,0.21,0.18,0.21,0.02,0.09,0.03,0.07,0.17,0.08,-0.03,0.08,0.01,0.11,0.08,0.25,0.24,0.33,0.3,0.25,0.18,0.17,0.18,0.08,-0.03,0.06,0.12,-0.02,0.09,0.2,0.08,0.22,0.32,0.18,0.17,0.1,0.12,0.06,0.03,0.21,0.14,0.11,0.04,-0.11,0,0.09,0.08,0.14,0.19,0.19,0.07,0.21,0.14,0.06,0.14,0.23,1,-0.03,0.35,0.45,0,0.03,0.01,0.12
skilled,0.1,0.1,0.01,0.15,-0.01,0.11,0.15,0.04,0.36,0.11,0.08,0.03,-0.01,0.05,0.22,0.02,0.09,0.06,0.05,0.08,0.02,0.11,0.01,0.01,0.06,0.05,0.09,-0.05,-0.01,0.08,0.04,0.02,0.02,0.12,0.1,0.12,0.03,0.08,-0.01,0.23,0.1,0.18,0.11,0.08,0.14,0.04,0.02,0.21,0.02,0.04,0.18,0.15,0.06,0.13,0.14,0.16,0.07,0.16,0.22,0.13,0,0.01,0.13,0.06,0.06,0.18,0.04,0.15,0.1,0.13,0.07,0.04,0.07,0.11,0.09,0.05,0.11,0.08,0.09,0.16,0.02,0.24,0.15,0.03,0.07,0.04,-0.04,0.19,0.39,0.07,0.1,0.17,-0.03,1,0.13,0.02,0.03,0.01,0.02,0.07
confident,0.01,0.22,0.27,0.12,0.05,0.09,0.16,0.35,0.03,0.07,0.06,0.12,-0.01,0.15,0.16,0.21,0.13,0.05,0.13,0.04,0.1,0.27,0.09,0.16,0.2,0.24,0.03,0.17,0.14,0.16,0.09,0.11,0.08,0.12,0.09,0.28,0.14,0.13,0.02,0.16,0.17,0.05,0.02,0.11,0.19,0.05,0.16,0.13,0.19,0.12,0.14,0.25,0.23,0.17,0.23,0.38,0.07,0.19,0.3,0.2,-0.03,0.09,0.08,0.08,0.04,0.32,0.11,0.3,0.36,0.21,0.17,0.19,0.09,0.06,0.11,0.16,0.27,0.07,0.05,0,0.06,0.15,0.12,0.21,0.18,0.08,0.02,0.24,0.11,0.12,0.21,0.23,0.35,0.13,1,0.21,0.02,0.06,0.05,0.1
openness,0.07,0.25,0.55,0.05,-0.01,0.08,0.13,0.61,0.05,0.03,0,0.17,-0.02,0.04,0.07,0.12,-0.02,0.07,0.22,0.08,0.11,0.2,0.13,-0.04,0.03,-0.01,0.1,-0.01,-0.02,0.01,0.16,0.17,0.05,0.01,0,0.01,0,0.16,0.12,0.18,0.03,0.07,0.09,0.05,0.19,0.05,-0.03,0.11,0.04,0.08,0.06,0.21,0.05,0.21,0.32,0.23,0.14,0.12,0.12,0.11,0.01,0.05,0.1,-0.02,0.05,0.29,-0.02,0.15,0.21,0.04,0.07,0.08,0.03,0.08,0.08,0.1,-0.01,0.11,0.06,-0.02,0.02,0.06,0.06,0.2,0.19,0.12,0.01,0.21,0.16,0.04,0.1,0.15,0.45,0.02,0.21,1,0.04,0.04,-0.05,0.06
radiant,-0.03,0.04,0,0,0.02,0.04,0,0.02,0.05,0.09,0.04,0.05,0.02,0.16,0.09,0.07,0.03,0.05,0.03,0.08,0.02,0.09,0,0.02,0.03,0.2,0.02,0.07,-0.02,0.03,0.03,0.07,0.02,0.03,0.03,0,0.09,0.01,0.05,-0.02,0.05,0.06,0.02,0.04,0.03,0.01,-0.01,0.07,0.01,-0.01,0.02,0.05,0.04,0.02,0.06,0.03,0.04,0.06,-0.02,0.05,0.03,-0.03,0.03,-0.02,0.01,0.09,0.01,0.11,0.02,0.03,0.07,0.01,0.05,0.07,0.09,0.03,0.02,-0.02,0.01,0.01,0.06,0.13,0.04,0.01,0.02,0,0.01,0,-0.02,0.03,0.04,0.04,0,0.03,0.02,0.04,1,-0.01,0.02,0.01
asset,0.06,0,0.03,0.01,0.04,0.04,0.01,0.02,0.01,0.02,0,0,0.03,0.02,0.04,0.04,-0.01,-0.02,0.05,0.02,0,-0.01,0.21,-0.01,0.01,0.01,0.04,-0.03,-0.04,-0.01,0.02,0.03,0.03,0.02,-0.01,-0.01,0.03,0.02,-0.02,0.02,-0.01,-0.01,0.04,0,0.03,0,0.02,0.01,0.01,0.02,0.07,0.06,0.02,-0.02,0,0.01,0.23,0.01,0.04,0.01,0.06,-0.01,0.02,0.03,0,0.01,0.03,0.05,0.03,0,0.02,-0.01,0.02,-0.02,0.02,0.04,0.07,0.06,0.03,-0.01,0.04,0.03,0.02,0.01,0.01,0.04,0.03,0,0.02,0.03,0.02,-0.02,0.03,0.01,0.06,0.04,-0.01,1,0.02,0.03
